type,id,section,clean_key,feature,lower,upper,insight,suggestion,ideal_value
Headline,15,text_stats,words,words_len,0,4,Headlines with less than 4 words generally do not perform well on SEO and garner fewer clicks.,"Your headline is too short: try increasing the length of your headline to make it more impactful, this may also improve it's SEO value.",Ideal: ~ 5 to 15
Headline,15,text_stats,words,words_len,0,4,Headlines this short ( < 4 words) are more likely to garner less audience interest. ,Try to increase the length of your text by adding more words or by using different words with similar meanings to improve it's SEO value.,Ideal: ~ 5 to 15
Headline,15,text_stats,words,words_len,0,4,"Data analysis shows that readership, interest and clicks are higher when the number of words used are in the ideal range.",Increase the number of words (ideal range: 5 to 15) in your content to improve the comprehensiveness & drive more interest.,Ideal: ~ 5 to 15
Headline,16,text_stats,words,words_len,5,20,Your content contains the ideal number of words used in the headline.,None,Ideal: ~ 5 to 15
Headline,17,text_stats,words,words_len,21,1000,Headlines with a large number of words (greater than 25) are often perceived as lengthy and difficult to comprehend.,Your content contains too many words. Try reducing the length of your content (ideal is 5 to 15) to improve it's SEO value & potentially drive more traffic.,Ideal: ~ 5 to 15
Headline,17,text_stats,words,words_len,21,1000,Wordy headlines (more than 25 words) are generally skimmed by the audience and may result in lower readership.,Try to lower  the number of words used in the headline to improve its impact,Ideal: ~ 5 to 15
Headline,17,text_stats,words,words_len,21,1000,Content with too many words (more than 25) may make the text cumbersome to read.,"In order to increase clicks on the content link and readership, try decreasing the number of words used to the ideal range of 5 to 15.",Ideal: ~ 5 to 15
Headline,17,text_stats,words,words_len,21,1000,Analysis has shown that headlines that are 4-12 words long garner maximum traffic. ,"Decrease the number of words used in the post, to make it short, concise, readable and interesting.",Ideal: ~ 5 to 15
Headline,17,text_stats,hashtags,ht_len,0,0,Use atleast one hashtag in social media posts to garner approx. 13% higher postsreach.,None,Ideal: >1 
Headline,17,text_stats,hashtags,ht_len,1,1000,You are using interesting & relevan hashtags that perform well on social media. ,None,Ideal: >1 
Headline,18,readability,readability,flesch_reading_ease,0,59,"Your content has readability score of less than 60 (standard benchmark), which is considered difficult to read, higher the value, the more readable.",Try altering the lengthy and abstract words to increase the readability of your text (ideal range: 60+),Ideal: > 60
Headline,18,readability,readability,flesch_reading_ease,0,59,"Your content has a readability score of less than 60, which is considered difficult to read according to PropheSee's Readability Analysis.",Try altering the lengthy and abstract words to increase the readability of your text (ideal range: 60+),Ideal: > 60
Headline,18,readability,readability,flesch_reading_ease,0,59,The readability of your content is not optimal this may be considered  difficult to read.,Try altering the lengthy and abstract words to increase the readability of your text (ideal range: 60+),Ideal: > 60
Headline,18,readability,readability,flesch_reading_ease,0,59,Your content seems difficult to read as per the PropheSee Readability Score. A score greater than 60 is considered a good readability score.,Try altering the lengthy and abstract words to increase the readability of your text,Ideal: > 60
Headline,19,readability,readability,flesch_reading_ease,60,1000,Great! Your content readability score is greater than the benchmark.,None,Ideal: > 60
Headline,23,readability,syllable_density,avg_syllables_per_word,1,4,Great! The average number of syllables per word in your content are less than 5.,None,Ideal: < 5
Headline,23,readability,syllable_density,avg_syllables_per_word,5,1000,"Words with too many syllables could make the content difficult to read and pronounce. Individual words with more than 5 syllables, are not a good benchmark for readability analysis.",Try to add words in the text which are less syllable heavy.,Ideal: < 5
Headline,23,readability,syllable_density,avg_syllables_per_word,5,1000,"Words with too many syllables makes the content difficult to read and pronounce. Your content contains more than 5 syllables, which is not a good benchmark for readability analysis.",Try to change the existing words with alternative words containing fewer syllables.,Ideal: < 5
Headline,23,readability,syllable_density,avg_syllables_per_word,5,1000,Using too many words that are syllable heavy (greater than 5 syllables) is considered as a deterrent to the readability and may adversly impact readership.,"Your headline contains too many syllables, try to decrease this number by replacing some words.",Ideal: < 5
Headline,23,pos_tags,noun,noun,0,0,"An ideal piece of content contains a balanced proportion of nouns, adjectives, adverbs and pronouns. You have not used any nouns in your content. ",Add more nouns to your text to help improve your SEO and create a headline focus.,A proper headline is composed of balanced part of speech distribution.
Headline,23,pos_tags,verb,verb,0,0,"An ideal piece of content contains a balanced proportion of nouns, adjectives, adverbs and pronouns. You have not used any verbs in your content. ",Add more verbs to your text to help improve your SEO and increase readability.,A proper headline is composed of balanced part of speech distribution.
Headline,23,pos_tags,adjective,adjective,0,0,"An ideal piece of content contains a balanced proportion of nouns, adjectives, adverbs and pronouns. You have not used any adjectives in your content. ",Add more adjectives to your text to help improve your SEO and increase readability & potentially drive greater impact.,A proper headline is composed of balanced part of speech distribution.
Headline,28,sentiment,sentiment,sentiment,0.51,1,Your headline shows an overall neutral sentiment regarding the topic,None,Good headlines always convey either positive or negative sentiment.
Headline,29,sentiment,sentiment,sentiment,-1,-0.49,Your headline shows an overall neutral sentiment regarding the topic. ,None,Good headlines always convey either positive or negative sentiment.
Headline,28,sentiment,sentiment,sentiment,-0.5,0.5,Your headline converys an overall neutral sentiment. ,None,Good headlines always convey either positive or negative sentiment.
Headline,30,sarcasm,sarcasm,sarcasm,-100,-70,Your headline conveys a sarcasm sentiment and tone. Great !,None,Content which is sarcastic in nature has shown to increase virality of the post.
Headline,30,sarcasm,sarcasm,sarcasm,70,100,Your headline may be perceived as conveying a sarcastic sentiment and tone. ,None,Content which is sarcastic in nature has shown to increase virality of the post.
Headline,31,sarcasm,sarcasm,sarcasm,-69,-40,Considering adding a sarcastic element to your headline if it aligns with your brand.,None,Content which is sarcastic in nature has shown to increase virality of the post.
Headline,31,sarcasm,sarcasm,sarcasm,41,70,Considering adding a sarcastic element to your headline if it aligns with your content & brand strategy.,None,Content which is sarcastic in nature has shown to increase virality of the post.
Headline,31,sarcasm,sarcasm,sarcasm,-39,40,Considering adding a sarcastic element to your headline if it works for you or your brand.,None,Content which is sarcastic in nature has shown to increase virality of the post.
